구분,시도,상세주소,Latitude,Longitude,사찰명,소속단체(종단)
263,강원,강원도 강릉시 성산면 보광리 산544,37.7361352,128.7581856,보현사,조계종
264,강원,강원도 강릉시 구정면 구정리 29,37.6934861,128.872033,청학사,지암불교문화재단
265,강원,강원도 고성군 간성읍 교동리 280,38.3807328,128.4400706,극락암,조계종
266,강원,강원도 고성군 거진읍 냉천리 36,38.4021969,128.3780483,건봉사,조계종
267,강원,강원도 고성군 토성면 신평리 476,38.2556581,128.5366272,화암사,조계종
268,강원,강원도 동해시 삼화동 산172,37.5033146,129.0294563,삼화사,조계종
269,강원,강원도 동해시 용정동 502-2,37.5146318,129.1264811,감추사,태고종
270,강원,강원도 삼척시 근덕면 궁촌리 924,37.283049,129.2558737,영은사,조계종
271,강원,강원도 삼척시 근덕면 동막리 1332,37.3236435,129.2050695,신흥사,조계종
272,강원,강원도 삼척시 미로면 내미로리 785,37.4447367,129.0426632,천은사,조계종
273,강원,강원도 삼척시 성내동 8-1,37.4418567,129.1600557,삼장사,조계종
274,강원,강원도 속초시 설악동 170,38.1626862,128.4849533,신흥사,조계종
275,강원,강원도 속초시 설악동 216,38.1626862,128.4849533,계조암,조계종
276,강원,강원도 속초시 동명동 579-2,38.2136768,128.5854215,보광사,조계종
277,강원,강원도 양양군 강현면 둔전리 124-5,38.1229329,128.5453124,진전사,조계종
278,강원,강원도 양양군 강현면 전진리 55,38.1246689,128.6273735,낙산사,조계종
279,강원,강원도 양양군 강현면 전진리 산5-2,38.1261253,128.6267855,홍련암,조계종
280,강원,강원도 양양군 양양읍 파일이리 산323,38.0916719,128.6008288,영혈사,조계종
281,강원,강원도 양양군 현북면 어성전리 488,37.9528671,128.6701178,명주사,조계종
282,강원,강원도 영월군 무릉도원면 법흥리 산 5-3,37.3737315,128.2590199,법흥사,조계종
